nome,email,mesa
João Silva,joao.silva@email.com,1
Maria Santos,maria.santos@email.com,1
Pedro Costa,pedro.costa@email.com,2
Ana Ferreira,ana.ferreira@email.com,2
Carlos Oliveira,carlos.oliveira@email.com,3
Sofia Rodrigues,sofia.rodrigues@email.com,3
Miguel Almeida,miguel.almeida@email.com,4
Beatriz Martins,beatriz.martins@email.com,4
Ricardo Sousa,ricardo.sousa@email.com,5
Catarina Pereira,catarina.pereira@email.com,5
Luís Gonçalves,luis.goncalves@email.com,6
Inês Lopes,ines.lopes@email.com,6
André Carvalho,andre.carvalho@email.com,7
Mariana Teixeira,mariana.teixeira@email.com,7
Nuno Mendes,nuno.mendes@email.com,8
Sara Pinto,sara.pinto@email.com,8
Bruno Reis,bruno.reis@email.com,9
Teresa Correia,teresa.correia@email.com,9
Diogo Fernandes,diogo.fernandes@email.com,10
Marta Ribeiro,marta.ribeiro@email.com,10
